autor1,autor2,nProyectos
Andrade Lara: Osvaldo,Monckeberg Bruner: Cristián,25
Arriagada Macaya: Claudio,Letelier Norambuena: Felipe,25
Flores García: Iván,Robles Pantoja: Alberto,25
Carvajal Ambiado: Loreto,Robles Pantoja: Alberto,25
Aguiló Melo: Sergio,Cariola Oliva: Karol,25
Andrade Lara: Osvaldo,Soto Ferrada: Leonardo,25
Kast Rist: José Antonio,Lavín León: Joaquín,25
Morales Muñoz: Celso,Silva Méndez: Ernesto,25
Barros Montero: Ramón,Coloma Alamos: Juan Antonio,25
Lavín León: Joaquín,Macaya Danús: Javier,25
Letelier Norambuena: Felipe,Sepúlveda Orbenes: Alejandra,25
Gutiérrez Pino: Romilio,Urrutia Soto: Osvaldo,25
Provoste Campillay: Yasna,Sepúlveda Orbenes: Alejandra,25
Melero Abaroa: Patricio,Norambuena Farías: Iván,24
Monckeberg Bruner: Cristián,Monckeberg Díaz: Nicolás,24
Allende Bussi: Isabel,De Urresti Longton: Alfonso,24
Kast Rist: José Antonio,Urrutia Soto: Osvaldo,24
Nogueira Fernández: Claudia,Sabat Fernández: Marcela,24
Trisotti Martínez: Renzo,Ulloa Aguillón: Jorge,24
Melero Abaroa: Patricio,Trisotti Martínez: Renzo,24
Poblete Zapata: Roberto,Saldívar Auger: Raúl,24
Hoffmann Opazo: María José,Urrutia Bonilla: Ignacio,24
Silber Romo: Gabriel,Torres Jeldes: Víctor,24
Farcas Guendelman: Daniel,Robles Pantoja: Alberto,24
Kast Sommerhoff: Felipe,Sabat Fernández: Marcela,24
Jiménez Fuentes: Tucapel,Letelier Norambuena: Felipe,24
Aguiló Melo: Sergio,Núñez Arancibia: Daniel,24
Arriagada Macaya: Claudio,Meza Moncada: Fernando,24
Andrade Lara: Osvaldo,Espinosa Monardes: Marcos,24
Espinosa Monardes: Marcos,Flores García: Iván,24
Jiménez Fuentes: Tucapel,Walker Prieto: Matías,24
Arriagada Macaya: Claudio,Walker Prieto: Matías,24
Barros Montero: Ramón,Norambuena Farías: Iván,24
Fernández Allende: Maya,Soto Ferrada: Leonardo,24
Carvajal Ambiado: Loreto,Silber Romo: Gabriel,24
Girardi Lavín: Cristina,Provoste Campillay: Yasna,24
Espina Otero: Alberto,Harboe Bascuñán: Felipe,24
Alvarez-Salamanca Ramírez: Pedro Pablo,Kort Garriga: Issa Farid,24
Pérez Arriagada: José,Sepúlveda Orbenes: Alejandra,24
Lavín León: Joaquín,Trisotti Martínez: Renzo,24
Fernández Allende: Maya,Núñez Arancibia: Daniel,24
